Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
6.45654229034648e+004	1.89260993643424e+004,-6.82733276739368e+002
6.60693448007589e+004	1.89207884526989e+004,-7.58327085480731e+002
6.76082975391974e+004	1.89148267053179e+004,-8.34249746910936e+002
6.91830970918929e+004	1.89082027905618e+004,-9.10533094912757e+002
7.07945784384130e+004	1.89009041280926e+004,-9.87208794382752e+002
7.24435960074982e+004	1.88929168738507e+004,-1.06430831997468e+003
7.41310241300909e+004	1.88842259036557e+004,-1.14186293325822e+003
7.58577575029175e+004	1.88748147954826e+004,-1.21990365813845e+003
7.76247116628683e+004	1.88646658104822e+004,-1.29846125439474e+003
7.94328234724272e+004	1.88537598728172e+004,-1.37756618917251e+003
8.12830516164090e+004	1.88420765483925e+004,-1.45724860627779e+003
8.31763771102661e+004	1.88295940225708e+004,-1.53753829311065e+003
8.51138038202367e+004	1.88162890769715e+004,-1.61846464506937e+003
8.70963589956071e+004	1.88021370654625e+004,-1.70005662725827e+003
8.91250938133735e+004	1.87871118894640e+004,-1.78234273333246e+003
9.12010839355899e+004	1.87711859727008e+004,-1.86535094129215e+003
9.33254300796980e+004	1.87543302355461e+004,-1.94910866607034e+003
9.54992586021425e+004	1.87365140691211e+004,-2.03364270871536e+003
9.77237220955799e+004	1.87177053093285e+004,-2.11897920199269e+003
9.99999999999988e+004	1.86978702110095e+004,-2.20514355224365e+003
1.02329299228074e+005	1.86769734224442e+004,-2.29216037728713e+003
1.04712854805089e+005	1.86549779604229e+004,-2.38005344021761e+003
1.07151930523759e+005	1.86318451861430e+004,-2.46884557890122e+003
1.09647819614317e+005	1.86075347822086e+004,-2.55855863100379e+003
1.12201845430195e+005	1.85820047310312e+004,-2.64921335438634e+003
1.14815362149687e+005	1.85552112949566e+004,-2.74082934269473e+003
1.17489755493952e+005	1.85271089984669e+004,-2.83342493600912e+003
1.20226443461740e+005	1.84976506128397e+004,-2.92701712638931e+003
1.23026877081237e+005	1.84667871436669e+004,-3.02162145821099e+003
1.25892541179415e+005	1.84344678216749e+004,-3.11725192316192e+003
