Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
4.68845763063981e+003	(4.80011473346615e+001dB,-2.06828956084925e+001°)
4.79766583803895e+003	(4.79042262673045e+001dB,-2.14787950983356e+001°)
4.90941783137003e+003	(4.77932529125716e+001dB,-2.22698025949021e+001°)
5.02377286301913e+003	(4.76673079246315e+001dB,-2.30444880705241e+001°)
5.14079156553769e+003	(4.75256755080799e+001dB,-2.37893496015217e+001°)
5.26053598379073e+003	(4.73679327251636e+001dB,-2.44888845305272e+001°)
5.38306960785379e+003	(4.71940461600101e+001dB,-2.51258248470707e+001°)
5.50845740667629e+003	(4.70044689927415e+001dB,-2.56815714609333e+001°)
5.63676586252887e+003	(4.68002288234150e+001dB,-2.61368495462484e+001°)
5.76806300625317e+003	(4.65829943377074e+001dB,-2.64725860084961e+001°)
5.90241845333273e+003	(4.63551077470094e+001dB,-2.66709808476758e+001°)
6.03990344080399e+003	(4.61195705117548e+001dB,-2.67167091934958e+001°)
6.18059086502713e+003	(4.58799727003133e+001dB,-2.65981546986547e+001°)
6.32455532033671e+003	(4.56403616975438e+001dB,-2.63085444746486e+001°)
6.47187313859252e+003	(4.54050536439699e+001dB,-2.58468389280646e+001°)
6.62262242965177e+003	(4.51784001100377e+001dB,-2.52182348071396e+001°)
6.77688312278400e+003	(4.49645315241991e+001dB,-2.44341722644119e+001°)
6.93473700905058e+003	(4.47671056396258e+001dB,-2.35117971004751e+001°)
7.09626778467146e+003	(4.45890916290370e+001dB,-2.24729097160436e+001°)
7.26156109540197e+003	(4.44326167744850e+001dB,-2.13425162695551e+001°)
7.43070458194339e+003	(4.42988932797458e+001dB,-2.01471639013631e+001°)
7.60378792641117e+003	(4.41882294937894e+001dB,-1.89132720054292e+001°)
7.78090289988555e+003	(4.41001161847075e+001dB,-1.76656571720508e+001°)
7.96214341106988e+003	(4.40333679512145e+001dB,-1.64263965613006e+001°)
8.14760555608219e+003	(4.39862946847580e+001dB,-1.52141005732961e+001°)
8.33738766940664e+003	(4.39568785456018e+001dB,-1.40435920865297e+001°)
8.53159037603179e+003	(4.39429368183795e+001dB,-1.29259332216824e+001°)
8.73031664480325e+003	(4.39422580418536e+001dB,-1.18687095036617e+001°)
8.93367184301919e+003	(4.39527058437101e+001dB,-1.08764744200188e+001°)
9.14176379229743e+003	(4.39722905447801e+001dB,-9.95126802533474e+000°)
9.35470282574389e+003	(4.39992122675999e+001dB,-9.09314308822129e+000°)
9.57260184645269e+003	(4.40318810877199e+001dB,-8.30065425312713e+000°)
9.79557638736884e+003	(4.40689201479838e+001dB,-7.57128523766530e+000°)
1.00237446725454e+004	(4.41091571465264e+001dB,-6.90180411500707e+000°)
1.02572276798272e+004	(4.41516086649436e+001dB,-6.28854692411892e+000°)
1.04961492049954e+004	(4.41954607458644e+001dB,-5.72763587862180e+000°)
1.07406359274050e+004	(4.42400481486624e+001dB,-5.21514134570204e+000°)
1.09908174771524e+004	(4.42848338963436e+001dB,-4.74719756784750e+000°)
1.12468265038069e+004	(4.43293900979483e+001dB,-4.32008164472764e+000°)
1.15087987467430e+004	(4.43733805751559e+001dB,-3.93026419170279e+000°)
1.17768731071117e+004	(4.44165455096170e+001dB,-3.57443874763304e+000°)
1.20511917214871e+004	(4.44586881259394e+001dB,-3.24953565794525e+000°)
1.23319000372295e+004	(4.44996633042459e+001dB,-2.95272493587029e+000°)
1.26191468896038e+004	(4.45393679511861e+001dB,-2.68141155886723e+000°)
1.29130845806930e+004	(4.45777329303930e+001dB,-2.43322579881156e+000°)
1.32138689601518e+004	(4.46147163488882e+001dB,-2.20601050084894e+000°)
1.35216595078395e+004	(4.46502980052665e+001dB,-1.99780669391749e+000°)
1.38366194183786e+004	(4.46844748221859e+001dB,-1.80683850998420e+000°)
1.41589156876826e+004	(4.47172571055715e+001dB,-1.63149808428587e+000°)
1.44887192014997e+004	(4.47486654934339e+001dB,-1.47033088355034e+000°)
1.48262048260182e+004	(4.47787284768151e+001dB,-1.32202174503193e+000°)
1.51715515005835e+004	(4.48074803933016e+001dB,-1.18538179148975e+000°)
1.55249423325737e+004	(4.48349598094660e+001dB,-1.05933630429580e+000°)
1.58865646944855e+004	(4.48612082224315e+001dB,-9.42913579656905e-001°)
1.62566103232818e+004	(4.48862690226054e+001dB,-8.35234754564648e-001°)
1.66352754220533e+004	(4.49101866696556e+001dB,-7.35504564344786e-001°)
1.70227607640474e+004	(4.49330060422286e+001dB,-6.43002978668211e-001°)
1.74192717991215e+004	(4.49547719289292e+001dB,-5.57077654731798e-001°)
1.78250187626748e+004	(4.49755286339147e+001dB,-4.77137142901120e-001°)
1.82402167871180e+004	(4.49953196752725e+001dB,-4.02644779895431e-001°)
1.86650860159397e+004	(4.50141875583268e+001dB,-3.33113206476679e-001°)
1.90998517204286e+004	(4.50321736092842e+001dB,-2.68099449787160e-001°)
1.95447444191160e+004	(4.50493178573122e+001dB,-2.07200514414032e-001°)
2.00000000000000e+004	(4.50656589553438e+001dB,-1.50049430547046e-001°)
