Freq.,Vout.,Phase.
1.99053585276749e+004,2.52810550905970e+001,-4.69789339077586e+001
2.50593616813637e+004,2.43478284372206e+001,-5.58053727495607e+001
3.15478672240097e+004,2.31538093243022e+001,-6.51837400950227e+001
3.97164117362142e+004,2.16924802698029e+001,-7.48823578322390e+001
5.00000000000001e+004,1.99693447711770e+001,-8.47322352633955e+001
6.29462705897085e+004,1.79916032707793e+001,-9.46428604282996e+001
7.92446596230558e+004,1.57599606417005e+001,-1.04563134643058e+002
9.97631157484442e+004,1.32678580661680e+001,-1.14416580513429e+002
1.25594321575479e+005,1.05085986609739e+001,-1.24054971842503e+002
1.58113883008419e+005,7.48580255187333e+000,-1.33264040498717e+002
1.99053585276749e+005,4.22004190478681e+000,-1.41821004247252e+002
2.50593616813637e+005,7.47199864605202e-001,-1.49566175625467e+002
3.15478672240097e+005,-2.88957405544709e+000,-1.56445087789677e+002
3.97164117362142e+005,-6.64873121851180e+000,-1.62507510255139e+002
5.00000000000000e+005,-1.04960164528910e+001,-1.67879806522007e+002
Step,Information:,Run=9,Run:,9/100
